"reptile_ntaxa.x","reptile_mpd.obs","reptile_mpd.rand.mean","reptile_mpd.rand.sd","reptile_mpd.obs.rank","reptile_mpd.obs.z","reptile_mpd.obs.p","reptile_runs.x","reptile_NRI","grid_id","reptile_ntaxa.y","reptile_mntd.obs","reptile_mntd.rand.mean","reptile_mntd.rand.sd","reptile_mntd.obs.rank","reptile_mntd.obs.z","reptile_mntd.obs.p","reptile_runs.y","reptile_NTI","reptile_richness","reptile_PD_obs","reptile_pd_rand_mean","reptile_pd_rand_sd","reptile_pd_obs_rank","reptile_zscore","reptile_pd_obs_p","reptile_reps"
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10207,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
4,286.107677666667,318.151670448115,63.7795585881782,283,-0.502417913995842,0.283,999,0.502417913995842,10208,4,105.270257,253.288158734234,80.3192792326534,28,-1.84286889957621,0.028,999,1.84286889957621,4,511.262662,645.501281345,10448.2870047695,87,-1.31327274090092,0.0869130869130869,1000
3,263.299477333333,317.954494369703,79.7455362713315,119,-0.685367728300274,0.119,999,0.685367728300274,10209,3,150.072566666667,280.358897060394,97.2625178514913,107,-1.33953277451299,0.107,999,1.33953277451299,3,424.415233,517.623658718,7032.36536347854,97,-1.11148718474924,0.0969030969030969,1000
3,263.299477333333,317.954494369703,79.7455362713315,119,-0.685367728300274,0.119,999,0.685367728300274,10210,3,150.072566666667,280.358897060394,97.2625178514913,107,-1.33953277451299,0.107,999,1.33953277451299,3,424.415233,517.623658718,7032.36536347854,97,-1.11148718474924,0.0969030969030969,1000
4,233.087558,318.552514495996,63.1551727413114,62,-1.3532534673932,0.062,999,1.3532534673932,10211,4,141.566991,250.587178832833,79.3799497100684,78,-1.37339703830783,0.078,999,1.37339703830783,4,482.440365,644.293393855,11151.7839587471,52,-1.53267000220143,0.051948051948052,1000
4,233.087558,318.552514495996,63.1551727413114,62,-1.3532534673932,0.062,999,1.3532534673932,10212,4,141.566991,250.587178832833,79.3799497100684,78,-1.37339703830783,0.078,999,1.37339703830783,4,482.440365,644.293393855,11151.7839587471,52,-1.53267000220143,0.051948051948052,1000
5,270.179937,320.462779295996,53.022156872145,138,-0.948336417495152,0.138,999,0.948336417495152,10213,5,107.4262584,230.6178228,66.5882394801114,29,-1.85004987910508,0.029,999,1.85004987910508,5,569.287794,760.2059793,13943.7638037354,58,-1.61680367965907,0.0579420579420579,1000
6,248.461905466667,320.635658969703,47.7123808593384,65,-1.51268396594613,0.065,999,1.51268396594613,10214,6,102.524063,216.597370914915,56.5023256638934,24,-2.01891349735735,0.024,999,2.01891349735735,6,608.294337,869.067813514,15940.6085873129,25,-2.06543231631471,0.024975024975025,1000
6,248.461905466667,320.635658969703,47.7123808593384,65,-1.51268396594613,0.065,999,1.51268396594613,10215,6,102.524063,216.597370914915,56.5023256638934,24,-2.01891349735735,0.024,999,2.01891349735735,6,608.294337,869.067813514,15940.6085873129,25,-2.06543231631471,0.024975024975025,1000
6,248.461905466667,320.635658969703,47.7123808593384,65,-1.51268396594613,0.065,999,1.51268396594613,10216,6,102.524063,216.597370914915,56.5023256638934,24,-2.01891349735735,0.024,999,2.01891349735735,6,608.294337,869.067813514,15940.6085873129,25,-2.06543231631471,0.024975024975025,1000
